block,obj,obj_passive,obj_active
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,2491.968361429759,1823.2490587871928,2596.7926696274026
91,9660.731121250048,11347.300048503974,12854.774353527697
92,3730.3956746412478,3852.040341453706,3861.6954855080407
93,2492.695606892389,2439.6656158468368,2459.2693276565224
94,4600.448172795909,4818.8468149956525,4861.054134830678
95,4666.268433490865,5099.454138322721,5211.146041723085
96,4548.790118433452,4461.000066878844,4627.15755164988
97,2518.2485419327686,2673.8361550768996,3179.946536582229
98,1795.0854125904095,1867.4097338886518,1984.4218741595403
99,1911.551236126887,1942.2732936033883,2270.8130252501223
100,1796.7175530040008,1685.2617971637656,2207.8525953277485
101,2577.0155943922305,2375.0410643097352,2484.9196605323777
102,5143.221451468678,5564.846345686059,5587.191883017671
103,6072.127615118424,6989.827566696642,7279.186964879014
104,4117.680706018992,3733.657566270095,4146.242052222588
105,2351.029261551819,1783.8193158637991,2137.3584053686473
106,2668.594145486206,1492.0863046434256,2015.7917739034942
107,3241.9999687961513,2809.789330135564,3093.233999951015
108,3891.038126734713,4270.606221840506,4442.51212593293
109,4321.638707037333,4797.652341744317,4980.8659125530685
110,5296.738488125021,5655.539440216934,6006.483140614357
111,760.6885474596099,304.5383645482464,467.17336987586464
112,4315.702783361948,4392.99104686343,4402.872044593592
113,1498.3153906431762,769.791468429257,944.2054622681466
114,825.6425904915831,555.6132758337537,695.130388474559
115,1109.8240364349247,990.5283481885934,1123.5893213716804
116,2965.1209348227544,3273.596187244852,3280.3873829483987
117,2860.7039543188275,2924.94952051637,2973.2372547789205
118,1664.959895369423,1671.928009880642,1882.7493476393136
119,2320.6054076801906,2377.907643589714,2608.29681279091
120,2000.8018978110956,1708.4207078726404,1889.1402054998227
121,1668.4243586593784,1762.914061297406,1870.77083412255
122,826.2358051521671,666.6803802101664,694.9590244891002
123,1145.9033525183975,956.554724388434,1211.6070574754065
124,3173.721597885043,3613.1338096875347,3692.7353061875915
125,2932.56544444186,2828.564656117571,2828.564656117571
126,3592.0851153731546,3324.574975234519,3430.179450285529
127,3413.5049155391603,3436.5663261003288,3882.5690842995664
128,2190.8620267889833,2211.45644577587,2253.586926685923
129,1597.4855062322033,1410.5778250768371,1432.16642679705
130,2276.584148619131,2305.0016106942203,2313.1344310906093
131,2134.276881755067,2290.80334353568,2297.342705196361
132,2433.5109909124894,2470.905406229801,2473.2413510831902
133,2224.0272496872303,2229.6309250212344,2375.414601275033
