block,obj,obj_passive,obj_active
134,1352.1802492152829,1344.1280239628634,1344.1280239628638
135,1634.676121847326,1942.5295963971485,2031.87511939275
136,977.6387582695178,879.1266617322999,889.8159315884244
137,5516.658465566906,5184.597897327391,5184.422086959519
138,2892.19330263962,2597.672610672038,2728.1844452844225
139,1941.8408003677039,2239.020944882249,2273.1544005887035
140,2990.1785149783664,3733.8017880764364,3734.8296732759354
141,5133.43115209115,5694.224421475262,5694.889784602815
142,4777.043527793735,4129.685914768986,4153.576351182027
143,1515.4419300605246,1490.7818090398505,1538.9727050740712
144,815.2856362784015,554.0659230910932,763.0477934333576
145,7042.139346052444,8185.508692747699,8258.455410972258
146,6112.421172820878,6517.224873009469,6551.415643879614
147,4284.139123634131,4744.110386376987,4744.858296328891
148,6515.426116888178,5231.3926336907025,5239.1609202363325
149,948.5988881403706,1058.8286880875892,1153.07906968739
150,5041.110703525017,4183.906212463598,4311.524101822714
151,8248.344634233348,8481.418342087678,8529.900373688912
152,7000.907150644812,5690.306754589016,5697.03341712132
153,3005.699877858039,4771.1069795625535,4824.102807295753
154,2445.480453215862,3024.5009825707093,3116.964749576793
155,6231.039456328325,6511.3355396325915,6662.844283886319
156,7018.621536056027,8407.724922736887,8471.23260512312
157,8427.499925428647,9379.716553478142,9383.4284172217
158,7480.716412020928,6446.954760475792,6560.022279122985
159,1742.0187637918955,-7565.876653308711,-7187.283295316585
160,5830.50074471546,1714.8228281542179,1723.9522380822564
161,4394.784580003283,5052.2214042169135,5364.803757921225
162,3340.1759359687208,1907.3187014053985,1950.4396076048918
163,3815.7805902408318,3106.818874673055,3211.527984489563
164,3197.2436046957932,3834.7718603461785,3958.5116902398718
165,5454.199238877694,5340.920039009365,5375.301569805506
166,3478.3221177505416,4656.667271581151,4761.48030173999
167,3956.4379610548453,3952.6822303161334,3997.766186065218
168,1772.1618304130784,-6205.478138659742,-6004.829058830252
169,2633.268102130616,3643.385867500718,3922.2662205984843
170,9881.483283138672,10874.54491442903,11002.318683621914
171,6107.895256058804,6553.686223491797,6906.970832957924
172,7586.865148925261,8273.43341845586,8273.455460785617
173,6410.675077895179,7473.948616714684,7504.133375723117
174,5337.488533669619,6388.096405428637,6440.2074754076775
175,6457.241916052375,6881.587415274741,6885.906969216587
176,2215.0356945433787,618.6369522835666,650.9350450837464
177,1773.5459608436504,533.4586382579555,605.926174919322
178,2897.0428532550295,2362.5872783446616,2545.1801816106818
179,1870.3110366260307,1734.528163932115,1854.9841823733937
180,3496.536065503676,2922.6756714632106,3022.556447814987
181,2364.028115252644,1785.9194468601554,1901.7053568634112
182,1693.6165813247735,1820.6088396251123,1875.9933024086986
183,1697.8609900273657,1342.9419933670758,1758.4135044197749
184,1999.8029677440466,697.8898164635816,811.1501519268445
