block,obj,obj_passive,obj_active
134,1326.5508560122237,1331.775134416091,1331.8052303923514
135,1412.4093984459114,1972.1757114511486,2022.700400800671
136,824.6782532092444,957.0892962259866,967.9410404134891
137,4812.174310459723,5559.787617941398,5562.718573147235
138,2486.3573767662892,3152.121042355633,3326.3993931463224
139,1879.7932060938724,2239.931376600972,2278.73484998999
140,2827.3361437451613,3613.1724253585758,3614.2003105579965
141,4896.992244497389,5766.688415524343,5767.322146294735
142,4291.3986977240875,5068.12665384075,5095.785639485984
143,1091.8279949511832,1807.4594816016581,1808.8303314929385
144,720.6640159895974,567.4035565430398,719.2985095429339
145,6485.460461815696,7197.72644902117,7498.576538551306
146,5484.196083466241,6477.221514304033,6562.792505572693
147,4035.2702175982126,4931.724061481123,4931.965707062601
148,6018.396060218487,6039.927852584062,6047.736901009614
149,885.9253205941277,1232.3565091305782,1316.6729977189373
150,4273.417670560801,4399.223260890917,4407.206397459111
151,7735.524094156312,8563.34719612894,8612.842554529827
152,6312.135444000262,6213.015358685667,6213.539203704225
153,2375.328415281436,3031.9338763747996,3112.255691858282
154,2227.3349471795323,3461.5443524587345,3548.69207033767
155,4931.066946154199,6322.775089713081,6421.338451207955
156,6506.450266730363,8364.605406889063,8428.091467567425
157,7807.615026689959,9378.889785470821,9383.428417174562
158,6737.847214279254,6967.6051449657225,7080.674771553827
159,290.82672465651683,-271.2862727695799,37.68514375425548
160,5042.248927780417,2261.790895795604,2269.656931985503
161,4091.5904717474796,4975.76043042396,5399.108163402253
162,3058.3274466637495,1976.6778051465,2009.578490579556
163,3421.2609622244245,3425.972701823407,3503.1785963294287
164,2862.841872849623,3581.382351416224,4049.3699943417937
165,4785.262587896225,5304.833133333876,5320.140296655619
166,3243.260569398873,4463.303159336939,4554.585634048292
167,3686.78394015255,3964.7384647903327,3996.0543202000135
168,1001.7261518382554,-1386.0849387551525,-1205.4278118271818
169,2030.5363614730516,3272.8476318974945,3804.083589826332
170,9202.954365529253,10828.239264762333,10980.876255051335
171,5603.723577717145,7148.98676290579,7541.571406604653
172,7063.953888622766,8280.433340407091,8280.422973072153
173,5947.291635359442,8018.936462627061,8052.161117311388
174,4760.980551963756,6235.033794203576,6296.119045195713
175,5662.632940417234,6467.055749515656,6473.305040287207
176,940.1389931290464,628.7329932780046,680.4044282583548
177,906.1221465585224,1442.1357016998152,1501.988942798007
178,2590.4707838352124,2742.3917648308525,2857.9966301031677
179,1614.4751459047973,1926.5766878261684,2070.9315997833482
180,3027.977519293642,3318.5389075478297,3371.7516115360386
181,1907.3022056394755,2436.6781844836187,2528.3492484444564
182,1607.578324883611,1750.8201372202695,1820.1335649665355
183,1522.2333581700395,1829.623858118156,2178.0891750714422
184,1050.7238844526748,997.5883584721995,1043.0818192716952
