block,obj,obj_passive,obj_active
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,1853.1452181925315,3379.239146005043,4104.605649510164
91,8815.319596034418,13910.4001886988,15386.706076409642
92,3807.137070606139,6292.99466997589,6394.3062987477315
93,2084.1997897133115,2382.488673703124,2397.2305386836815
94,4019.0043994466655,4619.888115947023,4890.615511933112
95,4341.07604375239,5008.900368288463,5307.387573054586
96,3945.027264794464,5385.156247532373,5601.794947498993
97,3088.315667490049,2112.8942403986543,2739.0291412151273
98,4596.2381833455765,1801.3711822425353,1999.5279860691317
99,1543.3648579892765,2037.7061467260842,2141.3546821062423
100,1355.190395441659,1489.6989769051102,1711.0032418571386
101,2010.0214384824164,1606.6489153807493,1716.3107945440083
102,4221.239399492484,765.6522013834838,787.3228833091034
103,5416.232652069624,7066.952220780197,7357.109703685403
104,3499.09615254417,3452.8457151895846,4068.6762749581358
105,1904.711157415077,1861.8962639897604,2224.2333639780777
106,2201.5318465773535,1634.0025230277283,2111.41058351868
107,2808.8707553236886,2829.9061636184115,3113.6051924525327
108,3133.0349389313683,4201.486411304,4373.0057872565485
109,4116.881420924658,5345.576707352495,5514.8935312844005
110,5617.9034594827945,7010.125639446032,7174.016189526454
111,550.9199779623397,261.47966977154397,490.09502681369213
112,3765.5922562820897,4514.795566882132,4524.780051306084
113,1048.4018456443173,881.8264208721073,1109.531270993191
114,576.9614823017768,510.4692342679629,683.4328180748214
115,844.0707065734568,979.9367266513848,1108.7373055236087
116,2292.0418488172345,3286.7611401170557,3306.0518197523825
117,2248.2447014115555,2874.3134011335196,2926.751258012884
118,1261.639495916372,1644.2221930313078,1879.6574734848132
119,1880.4936864541376,3002.433072045582,3253.711837413246
120,1622.2415464680596,1812.6116477617884,1942.867207119505
121,1275.6464131981581,1776.107566912209,1889.9902327394432
122,673.8054802810358,744.8607102492647,782.0178123497094
123,899.4879914660416,723.297113823819,1022.7416418158753
124,2388.877669035781,3520.756477461698,3732.306834387766
125,2375.7487396770844,2772.8979618381754,3070.0221167815353
126,2823.3621124959573,3297.527498712734,3426.6066777767364
127,2767.901391234584,3357.951047891167,3826.606078505774
128,1746.5221779273897,2171.556417176291,2216.798865399819
129,1315.8731247571786,1363.727906468275,1488.8853317265382
130,1711.347656357105,2171.3346101365014,2320.446477729065
131,1566.2429326169497,2214.566610586098,2300.6359784847555
132,1937.8558326218247,2269.6509102232994,2354.884685063698
133,1781.5419359229795,2138.046601453968,2233.7950257262873
