TimeUTC,spotMeas,spotPred,imbalMeas,windMeas,windFor,loadFor,trans
2022-03-25 03:00:00,226.009995,212.678994405584,226.01,0.180292598967298,0.189543889845095,2067,-930.699951
2022-03-25 04:00:00,254.910004,258.873179816539,254.91,0.206540447504303,0.203098106712565,2223,-995.099991
2022-03-25 05:00:00,315,325.72292570268,82.02,0.250860585197935,0.234724612736661,2575,-932.499989
2022-03-25 06:00:00,333.859985,336.30432537545,516.62,0.26828743545611,0.270223752151463,2829,-968.100098
2022-03-25 07:00:00,240,240.787501498429,295.77,0.252151462994836,0.304647160068847,2874,-933.5
2022-03-25 08:00:00,220.100006,228.399220975746,402.66,0.248278829604131,0.35025817555938,2879,-912.200043
2022-03-25 09:00:00,185.600006,177.367131089783,195,0.281196213425129,0.415447504302926,2830,-755.400025
2022-03-25 10:00:00,185.869995,190.055683147641,195,0.342082616179002,0.473967297762478,2836,-1000.799958
2022-03-25 11:00:00,172.570007,176.534489528593,172.57,0.391996557659208,0.530550774526678,2654,-1468.500046
2022-03-25 12:00:00,169.75,179.39997143122,169.75,0.428356282271945,0.567340791738382,2480,-1862.800018
2022-03-25 13:00:00,178.570007,170.685527853591,178.57,0.462564543889845,0.571213425129088,2370,-2006.5
2022-03-25 14:00:00,199.110001,186.765792306974,199.11,0.494191049913941,0.546041308089501,2276,-2198.199997
2022-03-25 15:00:00,193.130005,183.685632848585,193.13,0.518502581755594,0.517211703958692,2218,-1784.799988
2022-03-25 16:00:00,194.190002,198.695915712391,194.19,0.539802065404475,0.481497418244406,2382,-1412.899948
2022-03-25 17:00:00,196.520004,200.087847196303,196.52,0.542168674698795,0.457831325301205,2497,-1180.5
2022-03-25 18:00:00,197.220001,205.295615705717,197.22,0.534638554216867,0.464070567986231,2493,-1263.799957
2022-03-25 19:00:00,193.350006,193.557039989712,193.35,0.505593803786575,0.478700516351119,2287,-1572.900024
2022-03-25 20:00:00,193.100006,192.716470567528,193.1,0.519363166953528,0.48407917383821,2062,-1766
2022-03-25 21:00:00,192.550003,213.582718962001,192.55,0.52710843373494,0.501290877796902,1955,-1971.399994
2022-03-25 22:00:00,180.880005,177.385269890175,180.88,0.58433734939759,0.525387263339071,1840,-2160
2022-03-25 23:00:00,164.350006,159.950081844213,164.35,0.632314974182444,0.619836488812392,1874,-2390
